day,entry_time,exit_time,entry,exit,shares,gross_pnl,cost,net_pnl,reason,generation,hold_seconds,profile
2026-07-14,2026-07-14T15:18:00+00:00,2026-07-14T16:02:00+00:00,751.97,750.26,2.0,-3.4200000000000728,0.300446,-3.7204460000000728,trailing_stop,0,2640,trend_path|rb=False|bps=1.0|frac=False
2026-07-14,2026-07-14T17:00:00+00:00,2026-07-14T19:55:00+00:00,751.97,752.1,2.0,0.2599999999999909,0.300814,-0.04081400000000912,end_of_day,0,10500,trend_path|rb=False|bps=1.0|frac=False
2026-07-15,2026-07-15T16:03:00+00:00,2026-07-15T17:30:00+00:00,751.97,752.97,2.0,2.0,0.30098800000000003,1.699012,target,0,5220,trend_path|rb=False|bps=1.0|frac=False
2026-07-16,2026-07-16T13:35:00+00:00,2026-07-16T14:05:00+00:00,751.97,752.97,2.0,2.0,0.30098800000000003,1.699012,target,0,1800,trend_path|rb=False|bps=1.0|frac=False
2026-07-16,2026-07-16T16:13:00+00:00,2026-07-16T18:40:00+00:00,751.97,750.33,2.0,-3.2799999999999727,0.30046000000000006,-3.580459999999973,trailing_stop,0,8820,trend_path|rb=False|bps=1.0|frac=False
2026-07-13,2026-07-13T13:51:00+00:00,2026-07-13T13:55:00+00:00,751.97,752.97,2.6596805723632593,2.6596805723632593,0.8005319361144727,1.8591486362487866,target,0,240,trend_path|rb=False|bps=2.0|frac=True
2026-07-13,2026-07-13T14:16:00+00:00,2026-07-13T14:26:00+00:00,751.97,752.97,2.6621529431177424,2.6621529431177424,0.8012760900431231,1.8608768530746194,target,0,600,trend_path|rb=False|bps=2.0|frac=True
2026-07-13,2026-07-13T14:37:00+00:00,2026-07-13T15:00:00+00:00,751.97,752.97,2.6646276121245838,2.6646276121245838,0.8020209357181542,1.8626066764064295,target,0,1380,trend_path|rb=False|bps=2.0|frac=True
2026-07-13,2026-07-13T15:13:00+00:00,2026-07-13T16:29:00+00:00,751.97,749.93,2.66710458152018,-5.440893346301373,0.8011448741970317,-6.242038220498405,trailing_stop,0,4560,trend_path|rb=False|bps=2.0|frac=True
2026-07-14,2026-07-14T14:35:00+00:00,2026-07-14T15:04:00+00:00,751.97,752.97,2.6588036676266755,2.6588036676266755,0.8002679983116179,1.8585356693150576,target,0,1740,trend_path|rb=False|bps=2.0|frac=True
